,R (Å),$V_{QM}(r)$ (Hartree),$V_{QM}(r)$ (kJ/mol),$V_{LJ}(r)$ (kJ/mol),$V_{Exp}(r)$ (kJ/mol)
0,3.0,0.00305498,8.02084999,50.593771040439606,8.485593400995686
1,3.25,0.00051811,1.360297805,15.121295715288534,1.864296314015621
2,3.5,-0.00027898,-0.73246199,3.655326882660617,-0.29286611166816945
5,3.75,-0.00044082,-1.15737291,0.0,-0.8220000000000001
6,3.775,-0.00044187,-1.160129685,-0.17696166533702035,-0.8352966278061269
7,3.8,-0.00044132,-1.15868566,-0.33247519548659343,-0.8442705227083294
8,3.85,-0.00043621,-1.1452693550000002,-0.5877382288073106,-0.8512274305784933
10,4.0,-0.0003996,-1.0491498000000001,-1.0271338580429834,-0.8118993671232935
11,4.25,-0.00031312,-0.82209656,-1.174280522592199,-0.6610669257290394
12,4.5,-0.0002323,-0.60990365,-1.0495571087728637,-0.5027606439010268
13,5.0,-0.00012296,-0.32283148,-0.6893757948875426,-0.2750396645479115
15,6.0,-3.777e-05,-0.099165135,-0.26411669932713266,-0.08459360129778766
16,7.0,-1.403e-05,-0.036835765,-0.10874662604117648,-0.027023732185662855
