Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,RainToday,RainTomorrow
2009-01-01,Cobar,17.9,35.2,0.0,12.0,12.3,48.0,No,No
2009-01-02,Cobar,18.4,28.9,0.0,14.8,13.0,37.0,No,No
2009-01-04,Cobar,19.4,37.6,0.0,10.8,10.6,46.0,No,No
2009-01-05,Cobar,21.9,38.4,0.0,11.4,12.2,31.0,No,No
2009-01-06,Cobar,24.2,41.0,0.0,11.2,8.4,35.0,No,No
2009-01-07,Cobar,27.1,36.1,0.0,13.0,0.0,43.0,No,No
2009-01-08,Cobar,23.3,34.0,0.0,9.8,12.6,41.0,No,No
2009-01-09,Cobar,16.1,34.2,0.0,14.6,13.2,37.0,No,No
2009-01-10,Cobar,19.0,35.5,0.0,12.0,12.3,48.0,No,No
2009-01-11,Cobar,19.7,35.5,0.0,11.0,12.7,41.0,No,No
2009-01-12,Cobar,20.9,37.8,0.0,12.8,13.2,30.0,No,No
2009-01-13,Cobar,23.9,39.1,0.0,13.8,12.1,39.0,No,No
2009-01-14,Cobar,24.9,41.2,0.0,14.8,13.0,43.0,No,No
2009-01-15,Cobar,25.2,40.5,0.0,16.4,10.3,44.0,No,No
2009-01-16,Cobar,21.6,34.2,0.0,17.4,13.1,44.0,No,No
2009-01-17,Cobar,18.4,31.8,0.0,16.0,12.9,33.0,No,No
2009-01-18,Cobar,17.9,34.2,0.0,12.0,11.3,61.0,No,No
2009-01-19,Cobar,21.4,37.5,0.0,14.8,6.9,43.0,No,Yes
2009-01-20,Cobar,23.3,39.4,4.8,12.0,10.9,59.0,Yes,No
2009-01-21,Cobar,25.4,33.5,0.0,13.6,3.7,46.0,No,No
2009-01-22,Cobar,21.8,30.7,0.0,8.0,5.9,56.0,No,Yes
2009-01-23,Cobar,20.3,36.0,18.0,8.2,10.5,94.0,Yes,Yes
2009-01-24,Cobar,22.1,34.7,8.6,8.6,12.4,50.0,Yes,No
2009-01-25,Cobar,19.7,37.3,0.0,14.2,13.4,28.0,No,No
2009-01-26,Cobar,23.8,39.9,0.0,12.6,13.2,31.0,No,No
2009-01-27,Cobar,27.0,38.7,0.0,14.2,13.0,46.0,No,No
2009-01-28,Cobar,26.2,38.5,0.0,14.6,13.3,39.0,No,No
2009-01-29,Cobar,25.0,39.5,0.0,14.6,13.6,52.0,No,No
2009-01-30,Cobar,25.1,39.3,0.0,15.8,13.2,44.0,No,No
2009-01-31,Cobar,25.2,38.5,0.0,16.2,13.1,44.0,No,No
2009-02-01,Cobar,24.8,40.8,0.0,13.4,11.3,30.0,No,No
2009-02-02,Cobar,27.6,40.3,0.0,14.4,10.9,57.0,No,No
2009-02-03,Cobar,23.6,40.4,0.6,11.8,12.2,54.0,No,Yes
2009-02-04,Cobar,24.1,41.4,1.6,12.6,12.3,39.0,Yes,No
2009-02-05,Cobar,27.2,43.4,0.0,14.2,12.6,37.0,No,No
2009-02-06,Cobar,29.1,43.5,0.0,13.0,12.1,28.0,No,No
2009-02-07,Cobar,28.9,41.4,0.0,15.6,12.7,41.0,No,No
2009-02-08,Cobar,25.1,42.0,0.0,17.4,13.0,39.0,No,No
2009-02-09,Cobar,25.4,36.6,0.0,15.2,10.3,43.0,No,No
2009-02-10,Cobar,19.3,28.1,0.0,16.0,7.4,46.0,No,No
2009-02-11,Cobar,14.1,25.9,0.0,11.6,12.3,44.0,No,No
2009-02-12,Cobar,14.5,30.1,0.0,9.6,10.0,37.0,No,No
2009-02-13,Cobar,16.8,23.3,0.6,8.0,2.3,63.0,No,Yes
2009-02-15,Cobar,16.0,24.2,7.0,0.6,6.6,43.0,Yes,No
2009-02-16,Cobar,17.4,19.7,0.0,6.0,0.0,48.0,No,Yes
2009-02-18,Cobar,16.5,27.4,1.6,2.0,10.0,30.0,Yes,No
2009-02-19,Cobar,16.8,30.6,0.0,5.2,10.7,26.0,No,No
2009-02-20,Cobar,20.4,34.0,0.0,6.6,11.6,31.0,No,No
2009-02-21,Cobar,19.9,31.7,0.0,9.0,12.4,31.0,No,No
2009-02-22,Cobar,17.2,34.3,0.0,10.2,12.4,39.0,No,No
2009-02-23,Cobar,21.9,35.1,0.0,9.0,10.2,43.0,No,Yes
2009-02-24,Cobar,21.0,34.7,2.0,10.0,9.0,46.0,Yes,No
2009-02-25,Cobar,18.7,33.1,0.8,7.4,12.1,31.0,No,No
2009-02-26,Cobar,17.9,33.8,0.0,8.4,12.0,24.0,No,No
2009-02-27,Cobar,19.9,33.5,0.0,9.2,12.3,39.0,No,No
2009-02-28,Cobar,22.2,36.9,0.0,9.4,12.0,41.0,No,No
2009-03-01,Cobar,16.9,32.8,0.0,12.4,10.7,30.0,No,No
2009-03-02,Cobar,20.0,31.1,0.0,10.4,3.0,30.0,No,No
2009-03-03,Cobar,23.0,38.9,0.0,7.2,8.4,65.0,No,No
2009-03-04,Cobar,18.6,24.5,0.0,15.2,7.9,54.0,No,No
2009-03-05,Cobar,14.1,24.6,0.0,11.0,11.5,46.0,No,No
2009-03-06,Cobar,11.9,26.4,0.0,8.4,12.1,41.0,No,No
2009-03-07,Cobar,13.1,29.6,0.0,8.0,12.0,26.0,No,No
2009-03-08,Cobar,16.5,33.2,0.0,9.4,12.0,46.0,No,No
2009-03-09,Cobar,21.1,33.4,0.0,10.4,11.2,41.0,No,No
2009-03-10,Cobar,21.6,31.1,0.0,10.8,4.8,61.0,No,No
2009-03-11,Cobar,19.5,31.4,0.0,6.8,10.5,46.0,No,No
2009-03-12,Cobar,21.6,32.2,0.0,11.2,5.8,48.0,No,Yes
2009-03-13,Cobar,18.5,29.6,9.2,7.6,6.0,39.0,Yes,Yes
2009-03-15,Cobar,16.0,24.3,0.0,10.4,11.1,39.0,No,No
2009-03-16,Cobar,9.2,24.4,0.0,7.6,10.9,41.0,No,No
2009-03-17,Cobar,12.1,25.8,0.0,6.8,11.8,30.0,No,No
2009-03-18,Cobar,13.9,29.5,0.0,6.4,11.8,28.0,No,No
2009-03-19,Cobar,15.3,32.3,0.0,6.0,11.3,24.0,No,No
2009-03-20,Cobar,17.6,33.9,0.0,8.0,11.6,39.0,No,No
2009-03-21,Cobar,19.1,34.2,0.0,9.0,11.4,28.0,No,No
2009-03-22,Cobar,20.9,34.3,0.0,10.2,7.9,28.0,No,No
2009-03-23,Cobar,21.3,35.9,0.0,9.0,10.8,35.0,No,No
2009-03-24,Cobar,19.2,37.0,0.0,10.2,11.1,43.0,No,No
2009-03-25,Cobar,23.5,36.5,0.0,15.6,7.8,44.0,No,No
2009-03-26,Cobar,21.9,36.4,0.0,11.4,6.6,37.0,No,No
2009-03-27,Cobar,20.8,31.2,0.2,11.4,10.3,33.0,No,No
2009-03-28,Cobar,15.9,31.0,0.0,9.8,11.4,37.0,No,No
2009-03-29,Cobar,16.6,31.6,0.0,7.8,11.1,26.0,No,No
2009-03-30,Cobar,17.3,31.0,0.0,7.0,11.1,33.0,No,No
2009-04-01,Cobar,18.0,30.6,0.0,8.4,11.2,44.0,No,No
2009-04-02,Cobar,19.7,31.8,0.0,8.8,11.2,37.0,No,No
2009-04-03,Cobar,21.0,32.8,0.0,6.8,10.3,31.0,No,No
2009-04-04,Cobar,15.6,24.3,0.2,8.2,11.2,43.0,No,No
2009-04-05,Cobar,9.9,24.6,0.0,7.0,11.2,31.0,No,No
2009-04-06,Cobar,10.7,23.3,0.0,6.2,11.0,43.0,No,No
2009-04-07,Cobar,9.4,25.6,0.0,7.6,11.2,31.0,No,No
2009-04-08,Cobar,13.5,28.4,0.0,5.8,9.0,35.0,No,No
2009-04-09,Cobar,17.1,28.7,0.0,6.6,5.5,43.0,No,Yes
2009-04-10,Cobar,16.5,20.6,14.4,6.0,0.0,30.0,Yes,Yes
2009-04-11,Cobar,16.0,24.4,2.4,0.2,4.7,31.0,Yes,Yes
2009-04-12,Cobar,16.8,23.9,5.4,2.4,4.2,20.0,Yes,No
2009-04-13,Cobar,16.2,23.9,0.0,1.8,4.4,24.0,No,No
2009-04-15,Cobar,14.5,28.4,0.0,2.8,11.1,39.0,No,No
2009-04-16,Cobar,14.9,29.4,0.0,8.0,9.8,33.0,No,No
2009-04-17,Cobar,11.7,23.8,0.0,5.0,11.0,28.0,No,No
2009-04-18,Cobar,11.2,23.8,0.0,5.0,11.0,35.0,No,No
2009-04-19,Cobar,11.4,25.6,0.0,5.0,10.9,26.0,No,No
2009-04-20,Cobar,13.3,24.1,0.0,5.2,11.2,31.0,No,No
2009-04-21,Cobar,11.9,24.0,0.0,6.2,10.9,35.0,No,No
2009-04-22,Cobar,12.3,24.6,0.0,5.0,9.9,31.0,No,No
2009-04-23,Cobar,12.0,25.9,0.0,4.4,11.0,33.0,No,No
2009-04-24,Cobar,16.7,24.6,0.0,7.0,4.3,57.0,No,No
2009-04-25,Cobar,12.7,23.4,0.6,5.0,10.6,46.0,No,No
2009-04-26,Cobar,11.2,18.4,1.0,5.6,9.0,63.0,No,No
2009-04-27,Cobar,5.7,19.7,0.0,4.8,10.3,52.0,No,No
2009-04-28,Cobar,12.4,19.9,1.0,4.2,8.0,35.0,No,No
2009-04-29,Cobar,6.2,17.0,0.0,4.0,9.6,33.0,No,No
2009-05-01,Cobar,6.2,19.3,0.0,3.0,7.8,17.0,No,No
2009-05-02,Cobar,6.6,20.6,0.0,2.4,10.6,28.0,No,No
2009-05-03,Cobar,7.5,22.8,0.0,4.2,10.7,30.0,No,No
2009-05-04,Cobar,8.5,23.3,0.0,4.2,10.7,22.0,No,No
2009-05-05,Cobar,9.7,23.1,0.0,4.8,10.4,22.0,No,No
2009-05-06,Cobar,5.9,23.9,0.0,4.6,10.6,20.0,No,No
2009-05-07,Cobar,7.9,23.5,0.0,4.0,10.4,26.0,No,No
2009-05-08,Cobar,7.5,21.7,0.0,4.0,10.5,24.0,No,No
2009-05-09,Cobar,6.2,22.2,0.0,4.0,10.5,24.0,No,No
2009-05-10,Cobar,7.7,23.2,0.0,3.4,10.4,22.0,No,No
2009-05-11,Cobar,10.4,23.4,0.0,4.2,9.3,30.0,No,No
2009-05-12,Cobar,9.7,23.2,0.0,4.0,8.7,24.0,No,No
2009-05-13,Cobar,9.0,21.2,0.0,3.4,10.2,33.0,No,No
2009-05-14,Cobar,5.4,20.4,0.0,4.6,10.0,31.0,No,No
2009-05-15,Cobar,7.5,21.2,0.0,3.4,10.4,37.0,No,No
2009-05-16,Cobar,8.8,20.6,0.0,4.4,7.6,39.0,No,No
2009-05-17,Cobar,7.8,19.4,0.0,3.6,6.9,31.0,No,No
2009-05-19,Cobar,12.8,14.7,7.6,4.6,0.0,41.0,Yes,Yes
2009-05-20,Cobar,12.5,15.6,17.6,0.0,0.0,52.0,Yes,Yes
2009-05-21,Cobar,12.7,20.0,7.8,1.4,7.5,52.0,Yes,No
2009-05-22,Cobar,10.9,20.8,0.2,2.8,10.1,46.0,No,No
2009-05-23,Cobar,12.6,22.9,0.0,4.0,10.2,44.0,No,No
2009-05-24,Cobar,13.2,22.9,0.0,4.0,9.9,44.0,No,No
2009-05-25,Cobar,13.5,21.5,0.0,4.6,6.3,44.0,No,No
2009-05-26,Cobar,13.0,21.3,1.0,3.8,2.8,26.0,No,Yes
2009-05-27,Cobar,12.6,16.3,3.6,2.2,0.7,20.0,Yes,No
2009-05-28,Cobar,7.2,15.9,0.0,0.8,9.4,24.0,No,No
2009-05-29,Cobar,2.4,15.6,0.0,2.4,9.3,28.0,No,No
2009-05-30,Cobar,6.8,17.7,0.0,2.2,9.7,37.0,No,No
2009-05-31,Cobar,10.7,15.6,0.0,2.6,0.6,43.0,No,Yes
2009-06-01,Cobar,11.3,13.0,10.0,1.8,0.0,43.0,Yes,Yes
2009-06-02,Cobar,11.1,13.9,12.0,0.0,0.0,30.0,Yes,Yes
2009-06-04,Cobar,11.6,18.6,0.2,0.6,8.3,26.0,No,No
2009-06-05,Cobar,6.9,17.6,0.0,2.2,9.3,15.0,No,No
2009-06-06,Cobar,6.9,16.7,0.0,1.6,4.1,28.0,No,Yes
2009-06-07,Cobar,6.5,14.5,3.4,1.2,3.9,28.0,Yes,No
2009-06-08,Cobar,8.8,15.8,0.0,1.0,8.3,31.0,No,No
2009-06-09,Cobar,5.5,14.3,0.8,2.8,6.2,46.0,No,No
2009-06-11,Cobar,0.2,12.1,0.0,2.8,9.6,31.0,No,No
2009-06-12,Cobar,1.9,12.8,0.0,1.2,6.8,26.0,No,No
2009-06-13,Cobar,6.1,18.0,0.0,1.4,7.8,35.0,No,No
2009-06-14,Cobar,8.3,19.0,0.2,3.8,8.6,46.0,No,No
2009-06-15,Cobar,4.7,14.9,0.0,3.4,2.7,24.0,No,No
2009-06-16,Cobar,7.9,17.1,0.6,0.6,8.7,20.0,No,No
2009-06-17,Cobar,5.2,17.8,0.0,2.4,8.2,26.0,No,No
2009-06-18,Cobar,6.5,17.5,0.0,2.0,9.7,28.0,No,No
2009-06-19,Cobar,6.7,17.3,0.0,2.2,8.0,22.0,No,No
2009-06-20,Cobar,8.5,18.4,0.0,2.4,7.5,33.0,No,No
2009-06-21,Cobar,11.7,20.1,0.0,2.0,3.1,31.0,No,Yes
2009-06-22,Cobar,9.5,20.9,2.0,1.8,9.9,22.0,Yes,No
2009-06-23,Cobar,7.4,22.3,0.2,2.2,9.4,33.0,No,No
2009-06-24,Cobar,6.5,16.7,0.0,3.2,9.8,33.0,No,No
2009-06-25,Cobar,7.2,16.6,0.0,2.6,1.8,19.0,No,No
2009-06-26,Cobar,7.8,12.2,0.2,2.2,0.1,28.0,No,Yes
2009-06-28,Cobar,9.5,16.0,6.4,0.6,3.4,26.0,Yes,No
2009-06-30,Cobar,9.8,20.7,0.0,2.4,3.0,54.0,No,No
2009-07-01,Cobar,8.7,17.0,0.0,4.0,9.6,39.0,No,No
2009-07-02,Cobar,4.3,16.5,0.0,3.4,8.7,41.0,No,No
2009-07-03,Cobar,8.5,14.3,0.0,2.8,5.0,48.0,No,No
